Source,Target,Since
49,83,15-05-2013
83,49,15-05-2013
49,9,13-10-2010
9,49,13-10-2010
50,22,20-10-2015
22,50,20-10-2015
50,83,28-01-2016
83,50,28-01-2016
50,56,15-10-2020
56,50,15-10-2020
50,21,13-04-2021
21,50,13-04-2021
50,85,29-09-2017
85,50,29-09-2017
50,61,30-10-2010
61,50,30-10-2010
50,14,30-08-2018
14,50,30-08-2018
50,9,28-06-2013
9,50,28-06-2013
50,84,10-05-2022
84,50,10-05-2022
51,13,10-07-2022
13,51,10-07-2022
51,33,09-05-2014
33,51,09-05-2014
51,85,21-01-2020
85,51,21-01-2020
51,43,13-02-2023
43,51,13-02-2023
51,16,22-12-2012
16,51,22-12-2012
51,84,08-05-2013
84,51,08-05-2013
52,20,14-03-2011
20,52,14-03-2011
52,77,27-08-2012
77,52,27-08-2012
52,41,23-08-2015
41,52,23-08-2015
53,79,08-08-2021
79,53,08-08-2021
53,43,20-05-2021
43,53,20-05-2021
53,16,24-08-2015
16,53,24-08-2015
54,94,28-02-2013
94,54,28-02-2013
54,22,14-05-2014
22,54,14-05-2014
54,91,29-11-2015
91,54,29-11-2015
54,10,23-04-2015
10,54,23-04-2015
54,19,29-05-2013
19,54,29-05-2013
54,23,10-11-2013
23,54,10-11-2013
54,75,21-10-2017
75,54,21-10-2017
54,42,09-04-2020
42,54,09-04-2020
55,33,19-12-2016
33,55,19-12-2016
55,9,20-04-2015
9,55,20-04-2015
55,54,17-03-2021
54,55,17-03-2021
56,27,26-12-2016
27,56,26-12-2016
56,45,17-04-2018
45,56,17-04-2018
56,21,18-03-2023
21,56,18-03-2023
56,93,21-09-2022
93,56,21-09-2022
56,98,17-08-2011
98,56,17-08-2011
56,42,21-03-2018
42,56,21-03-2018
56,4,29-06-2019
4,56,29-06-2019
56,92,16-10-2017
92,56,16-10-2017
57,23,23-03-2020
23,57,23-03-2020
57,27,18-02-2011
27,57,18-02-2011
57,30,21-09-2021
30,57,21-09-2021
57,33,20-05-2015
33,57,20-05-2015
57,47,14-09-2011
47,57,14-09-2011
57,6,11-11-2015
6,57,11-11-2015
57,77,21-11-2021
77,57,21-11-2021
57,60,18-11-2016
60,57,18-11-2016
58,95,24-08-2018
95,58,24-08-2018
58,22,13-06-2022
22,58,13-06-2022
58,55,27-03-2012
55,58,27-03-2012
58,28,11-07-2011
28,58,11-07-2011
58,62,18-06-2020
62,58,18-06-2020
58,25,27-07-2020
25,58,27-07-2020
58,83,14-07-2018
83,58,14-07-2018
59,13,25-04-2022
13,59,25-04-2022
60,51,24-03-2021
51,60,24-03-2021
60,70,11-05-2010
70,60,11-05-2010
60,13,29-09-2021
13,60,29-09-2021
60,96,24-11-2014
96,60,24-11-2014
60,23,20-09-2016
23,60,20-09-2016
60,43,24-11-2019
43,60,24-11-2019
61,42,08-12-2010
42,61,08-12-2010
61,97,03-08-2011
97,61,03-08-2011
61,57,09-09-2016
57,61,09-09-2016
61,9,24-11-2012
9,61,24-11-2012
62,18,08-10-2011
18,62,08-10-2011
62,60,13-07-2018
60,62,13-07-2018
62,33,30-07-2012
33,62,30-07-2012
62,50,25-12-2018
50,62,25-12-2018
63,83,20-09-2012
83,63,20-09-2012
63,56,03-06-2020
56,63,03-06-2020
63,14,27-07-2016
14,63,27-07-2016
63,6,24-01-2020
6,63,24-01-2020
63,11,29-11-2019
11,63,29-11-2019
63,59,19-05-2020
59,63,19-05-2020
63,74,27-02-2023
74,63,27-02-2023
63,21,01-01-2020
21,63,01-01-2020
63,73,19-11-2018
73,63,19-11-2018
63,28,13-03-2021
28,63,13-03-2021
64,81,14-06-2013
81,64,14-06-2013
64,90,22-04-2016
90,64,22-04-2016
64,76,25-05-2019
76,64,25-05-2019
64,23,24-04-2013
23,64,24-04-2013
64,15,15-01-2011
15,64,15-01-2011
64,46,19-01-2013
46,64,19-01-2013
64,61,09-01-2019
61,64,09-01-2019
65,30,04-06-2022
30,65,04-06-2022
65,91,17-08-2021
91,65,17-08-2021
65,64,15-12-2013
64,65,15-12-2013
65,54,04-04-2020
54,65,04-04-2020
65,76,12-09-2015
76,65,12-09-2015
65,46,01-12-2016
46,65,01-12-2016
65,69,09-02-2013
69,65,09-02-2013
65,23,05-05-2010
23,65,05-05-2010
66,95,31-07-2011
95,66,31-07-2011
66,19,16-06-2011
19,66,16-06-2011
66,67,18-12-2015
67,66,18-12-2015
67,97,27-12-2010
97,67,27-12-2010
67,31,25-02-2017
31,67,25-02-2017
67,86,24-01-2011
86,67,24-01-2011
67,21,30-05-2014
21,67,30-05-2014
67,59,03-11-2014
59,67,03-11-2014
67,23,25-03-2011
23,67,25-03-2011
67,40,16-09-2010
40,67,16-09-2010
68,16,12-08-2019
16,68,12-08-2019
68,37,20-05-2023
37,68,20-05-2023
69,74,22-02-2014
74,69,22-02-2014
69,20,16-03-2019
20,69,16-03-2019
69,55,21-09-2020
55,69,21-09-2020
69,99,17-02-2018
99,69,17-02-2018
69,5,21-12-2022
5,69,21-12-2022
69,96,07-12-2020
96,69,07-12-2020
70,16,23-08-2013
16,70,23-08-2013
70,7,17-02-2016
7,70,17-02-2016
70,6,09-03-2022
6,70,09-03-2022
70,98,14-06-2018
98,70,14-06-2018
70,2,06-04-2023
2,70,06-04-2023
70,36,27-04-2020
36,70,27-04-2020
70,61,24-07-2022
61,70,24-07-2022
70,55,22-01-2018
55,70,22-01-2018
70,3,20-09-2013
3,70,20-09-2013
71,69,19-08-2022
69,71,19-08-2022
71,38,29-10-2016
38,71,29-10-2016
72,2,22-08-2018
2,72,22-08-2018
72,13,12-06-2022
13,72,12-06-2022
72,39,03-05-2015
39,72,03-05-2015
72,77,31-08-2010
77,72,31-08-2010
72,46,14-07-2021
46,72,14-07-2021
72,25,20-08-2020
25,72,20-08-2020
72,67,12-03-2014
67,72,12-03-2014
72,28,09-11-2011
28,72,09-11-2011
72,82,10-02-2015
82,72,10-02-2015
72,69,08-04-2018
69,72,08-04-2018
73,72,21-12-2016
72,73,21-12-2016
73,55,20-11-2017
55,73,20-11-2017
73,15,20-08-2020
15,73,20-08-2020
73,41,28-01-2019
41,73,28-01-2019
73,16,01-05-2013
16,73,01-05-2013
73,94,29-06-2023
94,73,29-06-2023
73,79,22-11-2016
79,73,22-11-2016
73,69,14-12-2017
69,73,14-12-2017
74,92,12-09-2022
92,74,12-09-2022
74,12,29-12-2017
12,74,29-12-2017
74,31,15-09-2012
31,74,15-09-2012
74,65,31-12-2018
65,74,31-12-2018
74,60,29-04-2011
60,74,29-04-2011
74,52,24-10-2014
52,74,24-10-2014
75,55,19-09-2021
55,75,19-09-2021
75,30,21-01-2013
30,75,21-01-2013
75,37,07-10-2019
37,75,07-10-2019
75,13,09-09-2015
13,75,09-09-2015
75,24,13-04-2017
24,75,13-04-2017
75,72,23-04-2016
72,75,23-04-2016
75,40,28-09-2019
40,75,28-09-2019
75,22,20-09-2022
22,75,20-09-2022
75,83,10-07-2022
83,75,10-07-2022
76,37,14-06-2015
37,76,14-06-2015
77,93,04-06-2018
93,77,04-06-2018
78,73,29-10-2018
73,78,29-10-2018
78,77,01-01-2021
77,78,01-01-2021
78,48,29-06-2016
48,78,29-06-2016
78,7,23-04-2012
7,78,23-04-2012
78,6,01-02-2010
6,78,01-02-2010
78,43,03-06-2023
43,78,03-06-2023
78,86,29-04-2023
86,78,29-04-2023
78,71,21-11-2011
71,78,21-11-2011
78,79,25-11-2017
79,78,25-11-2017
79,62,30-01-2015
62,79,30-01-2015
79,57,03-02-2015
57,79,03-02-2015
79,70,01-07-2016
70,79,01-07-2016
79,5,22-06-2010
5,79,22-06-2010
79,58,30-11-2011
58,79,30-11-2011
79,97,19-12-2017
97,79,19-12-2017
80,43,09-03-2012
43,80,09-03-2012
80,90,28-03-2021
90,80,28-03-2021
80,13,25-11-2015
13,80,25-11-2015
80,92,23-10-2011
92,80,23-10-2011
80,88,13-08-2017
88,80,13-08-2017
80,12,28-12-2022
12,80,28-12-2022
80,21,20-02-2012
21,80,20-02-2012
80,3,10-01-2017
3,80,10-01-2017
81,62,29-04-2016
62,81,29-04-2016
81,2,29-01-2018
2,81,29-01-2018
81,12,19-01-2015
12,81,19-01-2015
81,38,06-11-2013
38,81,06-11-2013
81,91,21-03-2023
91,81,21-03-2023
81,5,02-04-2020
5,81,02-04-2020
81,32,06-02-2017
32,81,06-02-2017
81,52,20-09-2020
52,81,20-09-2020
82,44,18-02-2011
44,82,18-02-2011
83,92,04-09-2016
92,83,04-09-2016
83,20,26-05-2019
20,83,26-05-2019
83,68,11-01-2011
68,83,11-01-2011
83,97,13-03-2019
97,83,13-03-2019
83,33,24-02-2015
33,83,24-02-2015
83,51,26-07-2018
51,83,26-07-2018
83,44,25-09-2012
44,83,25-09-2012
84,18,14-10-2012
18,84,14-10-2012
84,27,12-08-2012
27,84,12-08-2012
84,60,26-01-2016
60,84,26-01-2016
84,14,10-04-2023
14,84,10-04-2023
84,80,12-06-2022
80,84,12-06-2022
84,52,08-06-2012
52,84,08-06-2012
85,70,03-02-2020
70,85,03-02-2020
85,4,23-12-2019
4,85,23-12-2019
85,15,18-08-2023
15,85,18-08-2023
85,80,20-11-2018
80,85,20-11-2018
85,58,18-12-2016
58,85,18-12-2016
85,12,15-12-2011
12,85,15-12-2011
85,1,01-04-2015
1,85,01-04-2015
85,83,29-05-2019
83,85,29-05-2019
86,98,14-03-2020
98,86,14-03-2020
86,84,20-10-2010
84,86,20-10-2010
86,75,09-05-2017
75,86,09-05-2017
86,39,25-04-2011
39,86,25-04-2011
86,53,12-10-2019
53,86,12-10-2019
86,35,08-11-2014
35,86,08-11-2014
86,71,27-02-2012
71,86,27-02-2012
86,83,12-02-2023
83,86,12-02-2023
86,74,22-01-2021
74,86,22-01-2021
87,66,26-07-2010
66,87,26-07-2010
87,38,16-09-2014
38,87,16-09-2014
87,5,31-03-2019
5,87,31-03-2019
87,50,08-08-2017
50,87,08-08-2017
87,0,16-09-2010
0,87,16-09-2010
87,33,13-09-2020
33,87,13-09-2020
87,62,19-04-2010
62,87,19-04-2010
87,96,12-01-2015
96,87,12-01-2015
87,54,04-01-2012
54,87,04-01-2012
87,10,28-09-2013
10,87,28-09-2013
88,18,09-08-2017
18,88,09-08-2017
89,91,07-07-2012
91,89,07-07-2012
89,30,20-02-2021
30,89,20-02-2021
89,44,17-02-2017
44,89,17-02-2017
89,81,12-09-2014
81,89,12-09-2014
89,58,28-02-2021
58,89,28-02-2021
89,20,19-10-2017
20,89,19-10-2017
89,86,10-04-2015
86,89,10-04-2015
89,62,10-11-2014
62,89,10-11-2014
90,36,02-07-2011
36,90,02-07-2011
91,49,02-10-2021
49,91,02-10-2021
91,44,05-11-2012
44,91,05-11-2012
91,83,15-10-2016
83,91,15-10-2016
91,96,23-04-2011
96,91,23-04-2011
92,90,05-06-2023
90,92,05-06-2023
92,15,16-02-2023
15,92,16-02-2023
92,79,01-04-2011
79,92,01-04-2011
93,80,04-07-2023
80,93,04-07-2023
93,15,15-07-2011
15,93,15-07-2011
93,13,01-08-2017
13,93,01-08-2017
93,21,24-08-2014
21,93,24-08-2014
93,45,23-07-2016
45,93,23-07-2016
94,6,04-01-2013
6,94,04-01-2013
94,46,25-01-2018
46,94,25-01-2018
94,14,18-08-2011
14,94,18-08-2011
94,58,29-08-2015
58,94,29-08-2015
94,60,06-02-2020
60,94,06-02-2020
94,65,17-02-2021
65,94,17-02-2021
95,44,14-08-2015
44,95,14-08-2015
95,59,20-09-2015
59,95,20-09-2015
95,35,02-07-2020
35,95,02-07-2020
95,23,14-05-2017
23,95,14-05-2017
95,17,10-04-2010
17,95,10-04-2010
95,49,03-06-2013
49,95,03-06-2013
95,30,01-08-2020
30,95,01-08-2020
95,87,09-09-2019
87,95,09-09-2019
95,88,04-07-2011
88,95,04-07-2011
95,90,30-11-2012
90,95,30-11-2012
96,22,27-08-2020
22,96,27-08-2020
96,59,12-12-2022
59,96,12-12-2022
96,74,09-11-2021
74,96,09-11-2021
96,49,08-08-2021
49,96,08-08-2021
96,85,31-08-2016
85,96,31-08-2016
97,93,04-02-2019
93,97,04-02-2019
97,65,24-02-2013
65,97,24-02-2013
97,9,10-08-2019
9,97,10-08-2019
97,77,17-04-2012
77,97,17-04-2012
97,24,22-05-2013
24,97,22-05-2013
98,32,24-12-2012
32,98,24-12-2012
98,87,15-09-2017
87,98,15-09-2017
98,6,03-09-2014
6,98,03-09-2014
98,44,30-03-2011
44,98,30-03-2011
98,22,24-02-2023
22,98,24-02-2023
98,80,07-10-2013
80,98,07-10-2013
99,71,22-10-2015
71,99,22-10-2015
99,6,11-05-2015
6,99,11-05-2015
99,59,07-03-2023
59,99,07-03-2023
99,94,23-08-2022
94,99,23-08-2022
99,55,08-01-2017
55,99,08-01-2017
99,54,20-05-2023
54,99,20-05-2023
99,23,03-06-2022
23,99,03-06-2022
99,44,01-06-2010
44,99,01-06-2010
